A039490,키움증권,금융,Y,N,Y,N
A047050,포스코인터내셔널,일반서비스,Y,N,N,N
A004370,농심,식음료,Y,N,N,N
A084990,헬릭스미스,제약 및 바이오,Y,N,N,N
A003000,부광약품,제약 및 바이오,Y,N,N,N
A138930,BNK금융지주,지주사,Y,Y,N,N
A017800,현대엘리베이,기계,Y,N,N,N
A140410,메지온,제약 및 바이오,Y,N,N,N
A095700,제넥신,제약 및 바이오,Y,N,N,N
A036490,SK머티리얼즈,반도체 관련장비 및 부품,Y,N,N,N
A145020,휴젤,가정용품,Y,N,N,N
A006280,녹십자,제약 및 바이오,Y,N,N,N
A026960,동서,지주사,Y,Y,N,N
A011200,HMM,운송 및 물류,Y,N,N,N
A047040,대우건설,건설 및 건축자재,Y,N,N,N
A240810,원익IPS,반도체 관련장비 및 부품,Y,N,N,N
A000060,메리츠화재,금융,Y,N,Y,N
A069620,대웅제약,제약 및 바이오,Y,N,N,N
A084850,아이티엠반도체,IT 장비 및 소재,Y,N,N,N
A181710,NHN,미디어 및 엔터,Y,N,N,N
A016380,KG동부제철,철강 및 비철강,Y,N,N,N
A058470,리노공업,반도체 관련장비 및 부품,Y,N,N,N
A000880,한화,지주사,Y,Y,N,N
A098460,고영,전기 및 전자기기,Y,N,N,N
A069960,현대백화점,유통,Y,N,N,N
A007700,F&F,섬유 및 의류,Y,N,N,N
A036830,솔브레인홀딩스,반도체 관련장비 및 부품,Y,N,N,N
A003090,대웅,제약 및 바이오,Y,N,N,N
A138040,메리츠금융지주,지주사,Y,Y,N,N
A051600,한전KPS,유틸리티,Y,N,N,N
A004800,효성,섬유 및 의류,Y,N,N,N
A009420,한올바이오파마,제약 및 바이오,Y,N,N,N
A010620,현대미포조선,조선,Y,N,N,N
A010120,LS ELECTRIC,기계,Y,N,N,N
A088350,한화생명,금융,Y,N,Y,N
A111770,영원무역,섬유 및 의류,Y,N,N,N
A031430,신세계인터내셔날,섬유 및 의류,Y,N,N,N
A034230,파라다이스,레저산업,Y,N,N,N
A294870,HDC현대산업개발,건설 및 건축자재,Y,N,N,N
A064350,현대로템,기계,Y,N,N,N
A078340,컴투스,미디어 및 엔터,Y,N,N,N
A002380,KCC,건설 및 건축자재,Y,N,N,N
A001740,SK네트웍스,석유 및 가스,Y,N,N,N
A200130,콜마비앤에이치,가정용품,Y,N,N,N
A042670,두산인프라코어,기계,Y,N,N,N
A000990,DB하이텍,반도체 관련장비 및 부품,Y,N,N,N
A056190,에스에프에이,디스플레이 장비 및 부품,Y,N,N,N
A204320,만도,자동차 및 관련부품,Y,N,N,N
A014680,한솔케미칼,IT 장비 및 소재,Y,N,N,N
A006260,LS,전기 및 전자기기,Y,N,N,N
A005690,파미셀,제약 및 바이오,Y,N,N,N
A012450,한화에어로스페이스,기계,Y,N,N,N
A235980,메드팩토,제약 및 바이오,Y,N,N,N
A034020,두산중공업,기계,Y,N,N,N
A336370,두산솔루스,IT 장비 및 소재,Y,N,N,N
A041960,코미팜,제약 및 바이오,Y,N,N,N
A009410,태영건설,건설 및 건축자재,Y,N,N,N
A085660,차바이오텍,제약 및 바이오,Y,N,N,N
A192080,더블유게임즈,미디어 및 엔터,Y,N,N,N
A013890,지누스,가정용품,Y,N,N,N
A007570,일양약품,제약 및 바이오,Y,N,N,N
A030190,NICE평가정보,IT서비스,Y,N,N,N
A039030,이오테크닉스,반도체 관련장비 및 부품,Y,N,N,N
A011210,현대위아,자동차 및 관련부품,Y,N,N,N
A285130,SK케미칼,화학,Y,N,N,N
A060250,NHN한국사이버결제,IT서비스,Y,N,N,N
A214320,이노션,미디어 및 엔터,Y,N,N,N
A185750,종근당,제약 및 바이오,Y,N,N,N
A019170,신풍제약,제약 및 바이오,Y,N,N,N
A005250,녹십자홀딩스,지주사,Y,Y,N,N
A161890,한국콜마,가정용품,Y,N,N,N
A064760,티씨케이,반도체 관련장비 및 부품,Y,N,N,N
A005290,동진쎄미켐,디스플레이 장비 및 부품,Y,N,N,N
A010780,아이에스동서,건설 및 건축자재,Y,N,N,N
A175330,JB금융지주,지주사,Y,Y,N,N
A000240,한국테크놀로지그룹,자동차 및 관련부품,Y,N,N,N
A003520,영진약품,제약 및 바이오,Y,N,N,N
A067630,에이치엘비생명과학,제약 및 바이오,Y,N,N,N
A298380,에이비엘바이오,제약 및 바이오,Y,N,N,N
A010060,OCI,에너지,Y,N,N,N
A139130,DGB금융지주,지주사,Y,Y,N,N
A086450,동국제약,제약 및 바이오,Y,N,N,N
A114090,GKL,레저산업,Y,N,N,N
A214150,클래시스,의료기기 및 용품,Y,N,N,N
A004000,롯데정밀화학,화학,Y,N,N,N
A000670,영풍,철강 및 비철강,Y,N,N,N
A272210,한화시스템,기계,Y,N,N,N
A020560,아시아나항공,운송 및 물류,Y,N,N,N
A032350,롯데관광개발,레저산업,Y,N,N,N
A120110,코오롱인더,화학,Y,N,N,N
A192820,코스맥스,가정용품,Y,N,N,N
A073240,금호타이어,자동차 및 관련부품,Y,N,N,N
A178920,PI첨단소재,IT 장비 및 소재,Y,N,N,N
A307950,현대오토에버,IT서비스,Y,N,N,N
A003690,코리안리,금융,Y,N,Y,N
A003230,삼양식품,식음료,Y,N,N,N
A025980,아난티,레저산업,Y,N,N,N
A000250,삼천당제약,제약 및 바이오,Y,N,N,N
A036540,SFA반도체,반도체 관련장비 및 부품,Y,N,N,N
A001800,오리온홀딩스,지주사,Y,Y,N,N
A278280,천보,반도체 관련장비 및 부품,Y,N,N,N
A086900,메디톡스,가정용품,Y,N,N,N
A082270,젬백스,제약 및 바이오,Y,N,N,N
A284740,쿠쿠홈시스,가정용품,Y,N,N,N
A003240,태광산업,섬유 및 의류,Y,N,N,N
A141080,레고켐바이오,제약 및 바이오,Y,N,N,N
A108230,톱텍,디스플레이 장비 및 부품,Y,N,N,N
A241590,화승엔터프라이즈,섬유 및 의류,Y,N,N,N
A005300,롯데칠성,식음료,Y,N,N,N
A023590,다우기술,IT서비스,Y,N,N,N
A003060,에이프로젠제약,제약 및 바이오,Y,N,N,N
A214370,케어젠,제약 및 바이오,Y,N,N,N
A215600,신라젠,제약 및 바이오,Y,N,N,N
A006650,대한유화,화학,Y,N,N,N
A057050,현대홈쇼핑,유통,Y,N,N,N
A290650,엘앤씨바이오,의료기기 및 용품,Y,N,N,N
A001680,대상,식음료,Y,N,N,N
A218410,RFHIC,통신,Y,N,N,N
A005440,현대그린푸드,식음료,Y,N,N,N
A046890,서울반도체,전기 및 전자기기,Y,N,N,N
A035900,JYP Ent.,미디어 및 엔터,Y,N,N,N
A204270,제이앤티씨,IT 장비 및 소재,Y,N,N,N
A006040,동원산업,식음료,Y,N,N,N
